,Model,Test Accuracy,Precision (macro),Recall (macro),F1 (macro),CV Accuracy (mean),CV Accuracy (std)
0,LogisticRegression,0.975,0.9751162260148967,0.9746570910973085,0.9744087955693106,0.9525,0.012716868718359873
1,SVM (Linear),0.97,0.9708615598401945,0.9697463768115941,0.9691628474074996,0.953125,0.014388580541526695
2,Gradient Boosting,0.905,0.9028939512186935,0.9034604435419653,0.9029475884739042,0.89875,0.018178799465311226
3,XGBClassifier,0.8975,0.8949961799890019,0.8967047897754419,0.8953676781036489,0.90625,0.01700183813591931
4,SVM (RBF),0.8925,0.8896874900857008,0.8895758679726071,0.8888565608705102,0.8625,0.022008521077073753
5,Random Forest,0.89,0.8879692924636746,0.888185817805383,0.8874140031189659,0.871875,0.024764515945198705
6,Decision Tree,0.835,0.8318987057033402,0.8299156911928651,0.8294913886353649,0.8331250000000001,0.026413183261394312
7,Naive Bayes,0.7975,0.7983321971995111,0.7925799291288422,0.7929277885973955,0.8043750000000001,0.021704694192731668
8,KNN,0.55,0.550772373354341,0.5383754379678293,0.5393557715103768,0.539375,0.012747548783981946
